timestamp,src_ip,dst_ip,protocol,dst_port,packets,bytes,flow_duration_ms,syn_packets,requests,label
2026-05-02 09:00:00,172.16.0.225,10.0.0.10,TCP,80,12,14232,1524,2,5,BENIGN
2026-05-02 09:00:00,172.16.0.102,10.0.0.10,TCP,80,8,8392,961,0,4,BENIGN
2026-05-02 09:00:00,172.16.1.144,10.0.0.10,TCP,443,4,4660,93,1,4,BENIGN
2026-05-02 09:00:00,172.16.0.73,10.0.0.10,TCP,443,8,10288,444,0,2,BENIGN
2026-05-02 09:00:00,172.16.1.190,10.0.0.10,TCP,443,7,5075,1803,1,1,BENIGN
2026-05-02 09:00:00,172.16.1.6,10.0.0.10,TCP,443,6,4626,1924,1,4,BENIGN
2026-05-02 09:00:00,172.16.1.155,10.0.0.10,TCP,80,10,8590,1519,1,1,BENIGN
2026-05-02 09:00:00,172.16.0.216,10.0.0.10,TCP,443,6,5142,706,0,0,BENIGN
2026-05-02 09:00:00,172.16.0.79,10.0.0.10,TCP,22,8,10128,740,0,0,BENIGN
2026-05-02 09:00:00,172.16.1.174,10.0.0.10,UDP,80,9,6201,94,0,4,BENIGN
2026-05-02 09:00:00,172.16.0.106,10.0.0.10,TCP,443,10,12620,1478,0,3,BENIGN
2026-05-02 09:00:00,172.16.1.133,10.0.0.10,TCP,8080,7,5068,634,1,2,BENIGN
2026-05-02 09:00:00,172.16.1.230,10.0.0.10,TCP,80,9,4599,281,0,2,BENIGN
2026-05-02 09:00:00,172.16.0.254,10.0.0.10,TCP,8080,5,5390,297,0,6,BENIGN
2026-05-02 09:00:00,172.16.1.90,10.0.0.10,UDP,22,11,6457,1989,0,0,BENIGN
2026-05-02 09:00:00,172.16.1.133,10.0.0.10,TCP,80,5,6160,1843,0,1,BENIGN
2026-05-02 09:00:00,172.16.0.237,10.0.0.10,TCP,80,6,3552,996,1,1,BENIGN
2026-05-02 09:00:00,172.16.0.95,10.0.0.10,TCP,80,5,2870,1670,0,1,BENIGN
2026-05-02 09:00:00,172.16.1.180,10.0.0.10,UDP,8080,11,12914,346,0,1,BENIGN
2026-05-02 09:00:00,172.16.0.217,10.0.0.10,TCP,443,12,11304,1074,1,2,BENIGN
2026-05-02 09:00:00,172.16.1.56,10.0.0.10,UDP,80,8,8440,119,0,4,BENIGN
2026-05-02 09:00:00,172.16.0.50,10.0.0.10,TCP,80,10,10760,193,1,3,BENIGN
2026-05-02 09:00:01,172.16.1.75,10.0.0.10,TCP,80,10,7160,556,3,2,BENIGN
2026-05-02 09:00:01,172.16.1.187,10.0.0.10,TCP,80,6,4512,895,0,2,BENIGN
2026-05-02 09:00:01,172.16.0.203,10.0.0.10,UDP,80,7,9079,1711,0,1,BENIGN
2026-05-02 09:00:01,172.16.1.149,10.0.0.10,TCP,53,2,1250,122,0,0,BENIGN
2026-05-02 09:00:01,172.16.1.245,10.0.0.10,UDP,80,8,5520,1630,0,3,BENIGN
2026-05-02 09:00:01,172.16.1.127,10.0.0.10,TCP,80,8,6368,201,0,4,BENIGN
2026-05-02 09:00:01,172.16.0.232,10.0.0.10,UDP,80,9,5544,1237,0,1,BENIGN
2026-05-02 09:00:01,172.16.0.223,10.0.0.10,TCP,443,5,3690,848,0,1,BENIGN
2026-05-02 09:00:01,172.16.0.183,10.0.0.10,TCP,443,14,13328,130,2,1,BENIGN
2026-05-02 09:00:01,172.16.0.38,10.0.0.10,UDP,80,5,4245,1657,0,2,BENIGN
2026-05-02 09:00:01,172.16.0.125,10.0.0.10,TCP,443,8,7840,1428,0,1,BENIGN
2026-05-02 09:00:01,172.16.0.87,10.0.0.10,UDP,8080,8,7064,949,0,1,BENIGN
2026-05-02 09:00:01,172.16.0.127,10.0.0.10,TCP,80,8,9800,1455,1,1,BENIGN
2026-05-02 09:00:01,172.16.0.191,10.0.0.10,TCP,443,12,15576,1836,1,1,BENIGN
2026-05-02 09:00:01,172.16.0.165,10.0.0.10,TCP,53,4,2612,1432,0,0,BENIGN
2026-05-02 09:00:01,172.16.2.0,10.0.0.10,TCP,443,16,8048,265,0,5,BENIGN
2026-05-02 09:00:01,172.16.0.39,10.0.0.10,TCP,443,6,6804,1817,1,5,BENIGN
2026-05-02 09:00:01,172.16.0.122,10.0.0.10,TCP,53,3,3321,814,1,0,BENIGN
2026-05-02 09:00:01,172.16.0.133,10.0.0.10,UDP,443,7,4830,1555,0,4,BENIGN
2026-05-02 09:00:01,172.16.0.212,10.0.0.10,TCP,443,8,6240,419,0,2,BENIGN
2026-05-02 09:00:01,172.16.0.234,10.0.0.10,UDP,443,11,9196,707,0,1,BENIGN
2026-05-02 09:00:01,172.16.1.199,10.0.0.10,TCP,443,13,14599,1035,1,0,BENIGN
2026-05-02 09:00:01,172.16.1.232,10.0.0.10,TCP,80,5,6335,1797,0,1,BENIGN
2026-05-02 09:00:01,172.16.1.108,10.0.0.10,TCP,80,2,1462,241,1,0,BENIGN
2026-05-02 09:00:02,172.16.0.16,10.0.0.10,TCP,22,9,6894,398,0,0,BENIGN
2026-05-02 09:00:02,172.16.0.79,10.0.0.10,TCP,80,3,1866,239,0,2,BENIGN
2026-05-02 09:00:02,172.16.1.102,10.0.0.10,TCP,53,12,14148,1040,1,0,BENIGN
2026-05-02 09:00:02,172.16.0.215,10.0.0.10,TCP,80,2,2122,347,0,4,BENIGN
2026-05-02 09:00:02,172.16.0.123,10.0.0.10,TCP,443,4,2400,1153,2,1,BENIGN
2026-05-02 09:00:02,172.16.1.211,10.0.0.10,UDP,443,7,3787,1199,0,2,BENIGN
2026-05-02 09:00:02,172.16.1.67,10.0.0.10,TCP,443,9,8892,1548,0,0,BENIGN
2026-05-02 09:00:02,172.16.1.207,10.0.0.10,TCP,443,8,8120,1759,0,4,BENIGN
2026-05-02 09:00:02,172.16.0.231,10.0.0.10,UDP,53,4,2332,1613,0,1,BENIGN
2026-05-02 09:00:02,172.16.1.119,10.0.0.10,UDP,443,10,7650,342,0,3,BENIGN
2026-05-02 09:00:02,172.16.0.103,10.0.0.10,TCP,53,6,3474,1353,0,1,BENIGN
2026-05-02 09:00:02,172.16.1.3,10.0.0.10,TCP,80,10,8400,212,2,2,BENIGN
2026-05-02 09:00:02,172.16.0.43,10.0.0.10,TCP,53,9,6318,782,2,0,BENIGN
2026-05-02 09:00:02,172.16.0.138,10.0.0.10,UDP,80,9,6624,339,0,5,BENIGN
2026-05-02 09:00:02,172.16.0.205,10.0.0.10,TCP,80,7,6503,331,0,0,BENIGN
2026-05-02 09:00:02,172.16.1.221,10.0.0.10,TCP,443,10,9470,119,0,4,BENIGN
2026-05-02 09:00:02,172.16.0.110,10.0.0.10,TCP,443,3,3717,879,0,0,BENIGN
2026-05-02 09:00:02,172.16.0.80,10.0.0.10,TCP,443,12,15480,910,2,4,BENIGN
2026-05-02 09:00:03,172.16.1.127,10.0.0.10,TCP,443,9,9810,1776,1,2,BENIGN
2026-05-02 09:00:03,172.16.0.170,10.0.0.10,TCP,443,6,4344,1355,1,1,BENIGN
2026-05-02 09:00:03,172.16.1.29,10.0.0.10,UDP,443,6,6366,369,0,3,BENIGN
2026-05-02 09:00:03,172.16.1.231,10.0.0.10,UDP,443,14,13776,1296,0,1,BENIGN
2026-05-02 09:00:03,172.16.0.240,10.0.0.10,TCP,80,4,3872,1405,1,1,BENIGN
2026-05-02 09:00:03,172.16.1.147,10.0.0.10,TCP,443,8,7760,1585,0,2,BENIGN
2026-05-02 09:00:03,172.16.1.114,10.0.0.10,TCP,443,12,13992,1874,0,4,BENIGN
2026-05-02 09:00:03,172.16.0.217,10.0.0.10,TCP,443,8,7264,124,0,2,BENIGN
2026-05-02 09:00:03,172.16.0.176,10.0.0.10,UDP,80,8,8168,632,0,3,BENIGN
2026-05-02 09:00:03,172.16.0.191,10.0.0.10,TCP,80,4,2140,1649,0,2,BENIGN
2026-05-02 09:00:03,172.16.0.94,10.0.0.10,TCP,53,11,9438,756,0,0,BENIGN
2026-05-02 09:00:03,172.16.0.253,10.0.0.10,TCP,443,9,7101,22,0,2,BENIGN
2026-05-02 09:00:03,172.16.1.181,10.0.0.10,TCP,443,6,7272,1052,0,1,BENIGN
2026-05-02 09:00:03,172.16.0.92,10.0.0.10,TCP,53,6,6840,1778,2,0,BENIGN
2026-05-02 09:00:03,172.16.1.136,10.0.0.10,TCP,443,8,4680,1606,2,2,BENIGN
2026-05-02 09:00:03,172.16.1.253,10.0.0.10,TCP,443,7,7966,1734,1,2,BENIGN
2026-05-02 09:00:03,172.16.1.161,10.0.0.10,UDP,8080,9,9054,625,0,0,BENIGN
2026-05-02 09:00:03,172.16.0.87,10.0.0.10,TCP,443,10,5830,1849,1,0,BENIGN
2026-05-02 09:00:03,172.16.1.66,10.0.0.10,TCP,443,5,2650,1704,1,2,BENIGN
2026-05-02 09:00:03,172.16.1.39,10.0.0.10,TCP,80,12,8340,1137,3,2,BENIGN
2026-05-02 09:00:03,172.16.0.67,10.0.0.10,TCP,22,7,5838,244,0,0,BENIGN
2026-05-02 09:00:03,172.16.0.196,10.0.0.10,TCP,80,6,5454,1895,0,2,BENIGN
2026-05-02 09:00:03,172.16.1.48,10.0.0.10,UDP,443,6,6126,635,0,3,BENIGN
2026-05-02 09:00:03,172.16.1.231,10.0.0.10,UDP,80,8,5096,1938,0,1,BENIGN
2026-05-02 09:00:03,172.16.1.12,10.0.0.10,ICMP,80,16,11648,1453,0,1,BENIGN
2026-05-02 09:00:03,172.16.0.41,10.0.0.10,TCP,443,6,4836,1041,2,2,BENIGN
2026-05-02 09:00:03,172.16.0.185,10.0.0.10,TCP,80,11,6842,1240,1,4,BENIGN
2026-05-02 09:00:04,172.16.0.167,10.0.0.10,TCP,80,7,8743,884,3,2,BENIGN
2026-05-02 09:00:04,172.16.1.251,10.0.0.10,TCP,80,7,3871,617,1,4,BENIGN
2026-05-02 09:00:04,172.16.0.181,10.0.0.10,TCP,443,10,7990,1261,1,2,BENIGN
2026-05-02 09:00:04,172.16.0.52,10.0.0.10,TCP,80,8,10112,1420,0,1,BENIGN
2026-05-02 09:00:04,172.16.1.31,10.0.0.10,TCP,80,10,10750,497,1,1,BENIGN
2026-05-02 09:00:04,172.16.0.190,10.0.0.10,TCP,80,13,7852,913,0,2,BENIGN
2026-05-02 09:00:04,172.16.1.40,10.0.0.10,TCP,53,10,10030,1878,0,0,BENIGN
2026-05-02 09:00:04,172.16.1.64,10.0.0.10,TCP,80,8,5896,1998,2,1,BENIGN
2026-05-02 09:00:04,172.16.1.168,10.0.0.10,TCP,80,10,9570,1150,3,0,BENIGN
2026-05-02 09:00:04,172.16.0.109,10.0.0.10,TCP,22,6,3996,1482,0,1,BENIGN
2026-05-02 09:00:04,172.16.1.104,10.0.0.10,ICMP,443,8,6576,938,0,4,BENIGN
2026-05-02 09:00:04,172.16.1.58,10.0.0.10,TCP,80,6,4314,511,1,3,BENIGN
2026-05-02 09:00:04,172.16.1.186,10.0.0.10,TCP,80,14,11732,253,0,3,BENIGN
2026-05-02 09:00:04,172.16.1.177,10.0.0.10,UDP,80,13,14677,1042,0,2,BENIGN
2026-05-02 09:00:04,172.16.1.154,10.0.0.10,TCP,8080,8,9872,1429,1,1,BENIGN
2026-05-02 09:00:04,172.16.0.235,10.0.0.10,UDP,80,9,7002,827,0,2,BENIGN
2026-05-02 09:00:04,172.16.0.15,10.0.0.10,UDP,443,11,7810,1945,0,3,BENIGN
2026-05-02 09:00:04,172.16.0.152,10.0.0.10,TCP,80,5,3345,840,1,4,BENIGN
2026-05-02 09:00:04,172.16.0.233,10.0.0.10,TCP,443,7,7112,1715,0,2,BENIGN
2026-05-02 09:00:04,172.16.0.235,10.0.0.10,UDP,80,10,10510,1992,0,2,BENIGN
2026-05-02 09:00:05,172.16.0.116,10.0.0.10,TCP,22,11,11374,973,2,0,BENIGN
2026-05-02 09:00:05,172.16.1.35,10.0.0.10,ICMP,443,3,2622,446,0,3,BENIGN
2026-05-02 09:00:05,172.16.1.41,10.0.0.10,TCP,8080,12,12960,588,0,4,BENIGN
2026-05-02 09:00:05,172.16.0.177,10.0.0.10,UDP,8080,12,12132,1363,0,2,BENIGN
2026-05-02 09:00:05,172.16.1.134,10.0.0.10,TCP,443,7,8960,646,0,2,BENIGN
2026-05-02 09:00:05,172.16.0.6,10.0.0.10,TCP,80,8,4344,1796,0,2,BENIGN
2026-05-02 09:00:05,172.16.0.106,10.0.0.10,TCP,443,7,4081,717,1,0,BENIGN
2026-05-02 09:00:05,172.16.0.169,10.0.0.10,TCP,443,7,5957,296,0,2,BENIGN
2026-05-02 09:00:05,172.16.1.173,10.0.0.10,UDP,80,4,4792,1530,0,4,BENIGN
2026-05-02 09:00:05,172.16.0.35,10.0.0.10,TCP,443,8,9432,766,0,3,BENIGN
2026-05-02 09:00:05,172.16.0.114,10.0.0.10,TCP,8080,11,9460,195,1,1,BENIGN
2026-05-02 09:00:05,172.16.0.216,10.0.0.10,TCP,80,10,8800,1093,0,1,BENIGN
2026-05-02 09:00:05,172.16.0.149,10.0.0.10,TCP,443,6,6642,235,0,1,BENIGN
2026-05-02 09:00:05,172.16.0.169,10.0.0.10,TCP,443,6,4890,1960,1,1,BENIGN
2026-05-02 09:00:05,172.16.1.58,10.0.0.10,TCP,80,8,4584,1975,0,2,BENIGN
2026-05-02 09:00:05,172.16.0.2,10.0.0.10,ICMP,443,5,4415,1764,0,4,BENIGN
2026-05-02 09:00:05,172.16.1.7,10.0.0.10,UDP,443,7,5754,795,0,2,BENIGN
2026-05-02 09:00:06,172.16.1.8,10.0.0.10,TCP,443,7,5488,1906,0,0,BENIGN
2026-05-02 09:00:06,172.16.0.124,10.0.0.10,TCP,80,12,6696,1856,0,0,BENIGN
2026-05-02 09:00:06,172.16.1.236,10.0.0.10,TCP,80,4,2344,1216,0,1,BENIGN
2026-05-02 09:00:06,172.16.0.14,10.0.0.10,TCP,443,14,17374,1988,2,0,BENIGN
2026-05-02 09:00:06,172.16.0.144,10.0.0.10,TCP,443,6,6144,1703,0,1,BENIGN
2026-05-02 09:00:06,172.16.0.221,10.0.0.10,UDP,80,8,7888,1140,0,2,BENIGN
2026-05-02 09:00:06,172.16.1.93,10.0.0.10,TCP,8080,8,10200,687,1,1,BENIGN
2026-05-02 09:00:06,172.16.1.56,10.0.0.10,TCP,80,8,6128,1441,0,1,BENIGN
2026-05-02 09:00:06,172.16.1.120,10.0.0.10,TCP,53,8,10392,1111,0,0,BENIGN
2026-05-02 09:00:06,172.16.1.212,10.0.0.10,TCP,443,5,5695,1900,1,1,BENIGN
2026-05-02 09:00:06,172.16.1.187,10.0.0.10,TCP,443,5,3780,1391,0,2,BENIGN
2026-05-02 09:00:06,172.16.1.23,10.0.0.10,TCP,443,10,8540,1132,0,5,BENIGN
2026-05-02 09:00:06,172.16.0.232,10.0.0.10,UDP,53,6,6618,1414,0,0,BENIGN
2026-05-02 09:00:06,172.16.1.111,10.0.0.10,TCP,80,9,5022,1462,0,0,BENIGN
2026-05-02 09:00:06,172.16.1.241,10.0.0.10,UDP,443,9,9747,1529,0,1,BENIGN
2026-05-02 09:00:06,172.16.0.183,10.0.0.10,TCP,80,5,5480,178,0,2,BENIGN
2026-05-02 09:00:06,172.16.0.70,10.0.0.10,TCP,443,8,7664,1043,0,0,BENIGN
2026-05-02 09:00:06,172.16.1.123,10.0.0.10,TCP,443,4,4840,131,1,1,BENIGN
2026-05-02 09:00:06,172.16.1.144,10.0.0.10,TCP,443,9,7560,867,0,2,BENIGN
2026-05-02 09:00:06,172.16.0.170,10.0.0.10,TCP,80,8,7648,37,0,2,BENIGN
2026-05-02 09:00:07,172.16.1.186,10.0.0.10,TCP,443,4,3892,1062,0,6,BENIGN
2026-05-02 09:00:07,172.16.1.34,10.0.0.10,TCP,443,9,10620,1864,0,2,BENIGN
2026-05-02 09:00:07,172.16.0.80,10.0.0.10,TCP,80,15,18300,974,1,2,BENIGN
2026-05-02 09:00:07,172.16.0.210,10.0.0.10,TCP,443,12,9816,1192,0,4,BENIGN
2026-05-02 09:00:07,172.16.1.123,10.0.0.10,UDP,443,4,3428,1890,0,3,BENIGN
2026-05-02 09:00:07,172.16.0.55,10.0.0.10,TCP,22,7,8911,1848,1,0,BENIGN
2026-05-02 09:00:07,172.16.2.5,10.0.0.10,TCP,22,6,5646,1565,2,1,BENIGN
2026-05-02 09:00:07,172.16.1.79,10.0.0.10,TCP,443,4,2064,468,0,1,BENIGN
2026-05-02 09:00:07,172.16.0.207,10.0.0.10,TCP,443,9,8550,1617,2,3,BENIGN
2026-05-02 09:00:07,172.16.1.10,10.0.0.10,TCP,443,7,6580,1095,0,3,BENIGN
2026-05-02 09:00:07,172.16.2.6,10.0.0.10,TCP,443,7,3640,1324,0,2,BENIGN
2026-05-02 09:00:07,172.16.1.35,10.0.0.10,TCP,22,8,8616,405,0,0,BENIGN
2026-05-02 09:00:07,172.16.1.195,10.0.0.10,TCP,443,8,6136,1417,2,3,BENIGN
2026-05-02 09:00:07,172.16.1.137,10.0.0.10,TCP,80,10,8010,1724,2,5,BENIGN
2026-05-02 09:00:07,172.16.0.78,10.0.0.10,TCP,443,8,6696,1655,0,2,BENIGN
2026-05-02 09:00:07,172.16.1.140,10.0.0.10,TCP,53,14,15540,467,2,0,BENIGN
2026-05-02 09:00:07,172.16.1.219,10.0.0.10,TCP,443,10,8150,191,1,5,BENIGN
2026-05-02 09:00:07,172.16.1.48,10.0.0.10,TCP,443,11,13794,798,2,3,BENIGN
2026-05-02 09:00:07,172.16.1.36,10.0.0.10,TCP,53,6,6402,679,1,0,BENIGN
2026-05-02 09:00:07,172.16.1.7,10.0.0.10,ICMP,80,9,8226,1787,0,0,BENIGN
2026-05-02 09:00:07,172.16.1.113,10.0.0.10,TCP,443,8,5912,1553,1,2,BENIGN
2026-05-02 09:00:08,172.16.0.97,10.0.0.10,TCP,443,11,5731,163,2,4,BENIGN
2026-05-02 09:00:08,172.16.0.156,10.0.0.10,UDP,80,7,7973,1528,0,2,BENIGN
2026-05-02 09:00:08,172.16.1.105,10.0.0.10,TCP,443,14,12040,1199,0,1,BENIGN
2026-05-02 09:00:08,172.16.1.42,10.0.0.10,TCP,80,4,4336,234,0,2,BENIGN
2026-05-02 09:00:08,172.16.1.225,10.0.0.10,TCP,443,9,8433,936,1,3,BENIGN
2026-05-02 09:00:08,172.16.1.17,10.0.0.10,TCP,22,6,4782,1253,1,0,BENIGN
2026-05-02 09:00:08,172.16.0.198,10.0.0.10,TCP,22,10,8310,841,0,0,BENIGN
2026-05-02 09:00:08,172.16.1.84,10.0.0.10,UDP,80,4,3780,305,0,1,BENIGN
2026-05-02 09:00:08,172.16.0.209,10.0.0.10,TCP,80,5,4135,67,1,0,BENIGN
